Study,Link (Use DOI or Title if missing),Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes,InGoldStandard
YayYilmaz2024,https://pubmed.ncbi.nlm.nih.gov/38528960/,Oral and gut microbial profiling in periodontitis and Parkinson's disease.,Parkinson’s disease (PD),Differing B/w Subgroups,Differing B/w Subgroups,"Mycoplasma faucium; Tannerella forsythia, Parvimonas micra; Saccharibacteria (Parkinsons group), and Prevotella pallens; Prevotella melaninogenica; Neisseria multispecies (Parkinsons+Periodontitis group)",Rothia dentocariosa; Gamella sanguinis (Healthy controls),Main Text,gradient/subtypes;confounding disease,"Note that these oral saliva samples. Also unclear where subjects were recruited from, possibly Turkey.",No
LinLi2025,https://pubmed.ncbi.nlm.nih.gov/41404035/,Alterations in gut microbiota and plasma metabolites: a multi-omics study of mild cognitive impairment in Parkinson's disease.,Parkinson’s disease (PD),No Difference,Differing B/w Subgroups,Senegalimassilia; Eubacterium,Eggerthella; Blautia; Lachnoclostridium; Erysipelatoclostridium; Oscillospirales; Megasphaera; Lactococcus,Main Text,gradient/subtypes,,No
KimKim2024,https://pubmed.ncbi.nlm.nih.gov/38610709/,Alterations in Gut Microbiota and Their Correlation with Brain Beta-Amyloid Burden Measured by (18)F-Florbetaben PET in Mild Cognitive Impairment Due to Alzheimer's Disease.,Alzheimer’s disease (AD),Decrease,Yes,Bacilli (p=0.034); Lactobacillales (p=0.047); Anaerostipes (p=0.036),Ruminococcaceae (p=0.006); Christensenellaceae (p=0.002); Rikenellaceae (p=0.011); Barnesiellaceae (p=0.015); Faecalibacterium (p=0.014); Lachnospira (p=0.008); Oscillibacter (p=0.009); Ruminococcus (p=0.034); Roseburia (p=0.039); Sporobacter (p=0.022); Alistipes (p=0.011); Barnesiella (p=0.013); Pseudoflavonifractor (p=0.014),Main Text,,,Yes
HuWang2024,https://pubmed.ncbi.nlm.nih.gov/39512468/,Retrospective analysis of diet and gut microbiota diversity and clinical pharmacology outcomes in patients with Parkinsonism syndrome.,Parkinson’s disease (PD),Increase,Not reported,Porphyromonas; Bifidobacterium; Lactococcus; Enterobacter; Acetobacter; Oxalobacter; Lachnospira; Enterococcus; Rhodospirillum; Gemmiger; Collinsella; Butyricimonas; Alistipes; Odoribacter (all p<0.05),Mitsuokella (p<0.05),Main Text,,,Yes
ZhangHuang2022,https://pubmed.ncbi.nlm.nih.gov/35931717/,Specific gut microbiota alterations in essential tremor and its difference from Parkinson's disease.,"Other, Parkinson’s disease (PD)",Differing B/w Subgroups,Differing B/w Subgroups,,Ruminococcus; Romboutsia; Mucispirillum; Aeromonas; Helicobacter; Candidatus Arthromitus; Peptoclostridium,Main Text,,Compared Essential Tremor (ET) with PD. PD and NC results are only in supplementary. Also performed qPCR to estimate total microbial load.,No
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/35656540/,The Gut Microbiome in Parkinson's Disease: A Longitudinal Study of the Impacts on Disease Progression and the Use of Device-Assisted Therapies.,Parkinson’s disease (PD),Decrease,Yes,Lactobacillaceae,Butyricicoccus; Fusicatenibacter; Lachnospiraceae ND3007; Erysipelotrichaceae UCG-003,Main Text,,Used ANOVA-like differential expression (ALDEx2),Yes
HuangLi2019,https://doi.org/10.3389/fped.2019.00394,Distinct Gut Microbiota Composition and Functional Category in Children With Cerebral Palsy and Epilepsy,Epilepsy,Increase,Yes,Bifidobacterium (Wilcoxon FDR<0.001); Streptococcus (Wilcoxon FDR<0.001); Akkermansia (Wilcoxon FDR<0.001); Enterococcus (Wilcoxon FDR<0.001); Prevotella (Wilcoxon FDR<0.001); Veillonella (Wilcoxon FDR<0.001); Rothia (Wilcoxon FDR<0.001); Clostridium IV (Wilcoxon FDR<0.001),Bacteroides (Wilcoxon FDR<0.001); Faecalibacterium (Wilcoxon FDR<0.001); Blautia (Wilcoxon FDR=0.037); Ruminococcus (Wilcoxon FDR<0.001); Roseburia (Wilcoxon FDR<0.001); Anaerostipes (Wilcoxon FDR<0.001); Parasutterella (Wilcoxon FDR<0.001),Main Text,,,Yes
LinLin2025,https://pubmed.ncbi.nlm.nih.gov/40046438/,Plasma exosomal miRNA expression and gut microbiota dysbiosis are associated with cognitive impairment in Alzheimer's disease.,Alzheimer’s disease (AD),Not Reported,Not reported,Propionibacteriaceae; Peptoniphilus; Anaerococcus; Tannerella; Arachnia; Dermabacter; Burkholderia cepacia; Fusobacterium necrophorum; Blautia hydrogenotrophica; Streptococcus porcinus; Streptococcus parasuis; Actinomyces sp. oral taxon 848,Romboutsia; Faecalibacterium; Roseburia; Sarcina; Massilistercora timonensis; Lachnospiraceae bacterium GAM79; Romboutsia ilealis; Faecalibacterium prausnitzii; Roseburia inulinivorans; Roseburia intestinalis; Sarcina sp. JB2; Uncultured Erysipelotrichaceae,Main Text,,,Yes
QianYang2018,https://pubmed.ncbi.nlm.nih.gov/29881345/,Detection of Microbial 16S rRNA Gene in the Blood of Patients With Parkinson's Disease.,Parkinson’s disease (PD),No Difference,No,Myroides; Isoptericola; Microbacterium; Cloacibacterium; Enhydrobacter (LDA Score (log10) > 2; FDR 5%),Limnobacter,Main Text,,These are blood samples,No
WadopVasquez2025,https://pubmed.ncbi.nlm.nih.gov/41156809/,Differential Patterns of Gut and Oral Microbiomes in Hispanic Individuals with Cognitive Impairment.,"Alzheimer’s disease (AD), Dementia",No Difference,No,Streptococcus; Fusobacterium; Fretibacterium; Dialister; Mycoplasma (oral data); Bacteroides; Escherichia-Shigella (gut data),Neisseria (oral data); Ruminococcus; Shuttleworthia; Holdemania; Subdoligranulum; UGC-005; Eubacterium brachy (gut data),Main Text,,Oral and gut data,No
KennaChua2021,https://pubmed.ncbi.nlm.nih.gov/34776854/,Changes in the Gut Microbiome and Predicted Functional Metabolic Effects in an Australian Parkinson's Disease Cohort.,Parkinson’s disease (PD),Decrease,No,Synergistetes (q<0.001); Proteobacteria (q=0.034),Lachnospiraceae (q=0.011); Roseburia (q<0.001); Kineothrix (q=0.105); Agathobaculum (q = 0.121); Colidextribacter (q=0.105); Intestinibacter (q=0.121),Main Text,,Used Wilcoxon rank-sum tests for differential abundance,Yes
PeiLu2023,https://pubmed.ncbi.nlm.nih.gov/37350810/,Gut microbiota and intestinal barrier function in subjects with cognitive impairments: a cross-sectional study.,Alzheimer’s disease (AD),No Difference,Differing B/w Subgroups,Catenibacterium (p=0.039); Family XIII AD3011 (p=0.011); Vagococcus (p=0.032) (in AD); Alistipes; Bacteroides; Roseburia; Tyzzerella 4 (in MCI),Dorea (p<0.01); Streptococcus (p=0.015),Main Text,,,Yes
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/35645785/,Nutritional Intake and Gut Microbiome Composition Predict Parkinson's Disease.,Parkinson’s disease (PD),No Difference,Yes,Bifidobacterium; Butyricimonas; Candidatus Soleaferre; Faecalibacterium sp. UBA1819; Flavonifractor; Ruminococcus gnavus,Agathobacter; Butyricicoccus; Erysipelotrichaceae UCG-003; Eubacterium xylanophilum; Fusicatenibacter; Lachnospiraceae ND3007 group; Ruminococcus gauvreauii; Firmacutes bacterium CAG:56,Main Text,,Used ANOVA-like differential expression (ALDEx2),Yes
KozhakhmetovKaiyrlykyzy2024,https://pubmed.ncbi.nlm.nih.gov/39346576/,Inflammatory Manifestations Associated With Gut Dysbiosis in Alzheimer's Disease.,Alzheimer’s disease (AD),No Difference,Yes,Phyllobacterium; Lactobacillus salivarius; Bacteroidia; Coriobacteriia; Erysipelotrichia; Gemmatimonadetes; Verrucomicrobiae; Cloacibacillus; Clostridia,"Rhodospirillales; Bacteroides, Bifidobacterium breve; Monoglobus",Main Text,,,Yes
MateoCarrión2024,https://pubmed.ncbi.nlm.nih.gov/39458354/,Gut Microbiota Alterations in Alzheimer's Disease: Relation with Cognitive Impairment and Mediterranean Lifestyle.,Alzheimer’s disease (AD),,,,,Main Text,,,No
YuQiu2021,,Profile of gut microbiota in patients with traumatic thoracic spinal cord injury and its clinical implications: a case-control study in a rehabilitation setting,Spinal cord injury (SCI),,,,,Main Text,,,No
BrennerStamper2020,,Microbial Diversity and Community Structures Among Those With Moderate to Severe TBI: A United States-Veteran Microbiome Project Study,Other,,,,,Main Text,gradient/subtypes,,No
ZhangZhang2018,,Gut microbiota dysbiosis in male patients with chronic traumatic complete spinal cord injury,Spinal cord injury (SCI),,,,,Main Text,,,No
ZhangJing2019,,Dysbiosis of gut microbiota is associated with serum lipid profiles in male patients with chronic traumatic cervical spinal cord injury,Spinal cord injury (SCI),,,,,Main Text,,,No
BazzocchiTurroni2021,,Changes in gut microbiota in the acute phase after spinal cord injury correlate with severity of the lesion,Spinal cord injury (SCI),,,,,Main Text,,,No
PangWang2022,,Relationship between gut microbiota and lymphocyte subsets in Chinese Han patients with spinal cord injury,Spinal cord injury (SCI),,,,,Main Text,,,No
JoKang2022,https://pubmed.ncbi.nlm.nih.gov/35798742/,Oral and gut dysbiosis leads to functional alterations in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
KongZhang2023,,The gut microbiota and metabolite profiles are altered in patients with spinal cord injury,Spinal cord injury (SCI),,,,,Main Text,,,No
LinXu2020,,Alterations in the fecal microbiota of patients with spinal cord injury,Spinal cord injury (SCI),,,,,Main Text,,,No
UrbanPyles2020,,Altered Fecal Microbiome Years after Traumatic Brain Injury,Other,,,,,Main Text,,,No
JingYang2023,,Spinal cord injury-induced gut dysbiosis influences neurological recovery partly through short-chain fatty acids,Spinal cord injury (SCI),,,,,Main Text,,,No
ChenShi2024,https://doi.org/10.3389/fnagi.2024.1478557,Gut microbiota dysbiosis in patients with Alzheimer’s disease and correlation with multiple cognitive domains,Alzheimer’s disease (AD),No Difference,Yes,"Bacillus (mAD>HC; LEfSe LDA>2, p<0.05); Leuconostoc (mAD>HC; LEfSe LDA>2, p<0.05); Sellimonas (sAD>HC; LEfSe LDA>2, p<0.05).","Agathobacter (LEfSe LDA>2, p<0.05); Phascolarctobacterium (LEfSe LDA>2, p<0.05); Butyricicoccus (LEfSe LDA>2, p<0.05); Fusobacterium (LEfSe LDA>2, p<0.05); Haemophilus (LEfSe LDA>2, p<0.05); Lachnospiraceae_UCG-001 (LEfSe LDA>2, p<0.05); Parasutterella (LEfSe LDA>2, p<0.05); Lachnospiraceae_ND3007_group (LEfSe LDA>2, p<0.05); Lachnospira (LEfSe LDA>2, p<0.05); Lachnospiraceae_UCG-004 (LEfSe LDA>2, p<0.05)",Main Text,gradient/subtypes,,No
LeeKim2023,https://pubmed.ncbi.nlm.nih.gov/38020771/,Effects of the multidomain intervention with nutritional supplements on cognition and gut microbiome in early symptomatic Alzheimer's disease: a randomized controlled trial.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,intervention,,No
LiuCheng2025,https://pubmed.ncbi.nlm.nih.gov/40880853/,Altered gut microbial networks and metabolic pathways in multiple system atrophy: a comparative 16S rRNA study.,"Multiple system atrophy (MSA), Parkinson’s disease (PD)",,,,,Main Text,,,No
HaakWestendorp2021,,Disruptions of Anaerobic Gut Bacteria Are Associated with Stroke and Post-stroke Infection: a Prospective Case-Control Study,Stroke,,,,,Main Text,,,No
PylesMiller2024,,The altered TBI fecal microbiome is stable and functionally distinct,Other,,,,,Main Text,,,No
LvZhan2024,https://pubmed.ncbi.nlm.nih.gov/39498309/,Gut commensal Agathobacter rectalis alleviates microglia-mediated neuroinflammation against pathogenesis of Alzheimer disease.,Alzheimer’s disease (AD),,,,,Main Text,,,No
MaoZhang2021,https://pubmed.ncbi.nlm.nih.gov/34650532/,Cross-Sectional Study on the Gut Microbiome of Parkinson's Disease Patients in Central China.,Parkinson’s disease (PD),,,,,Main Text,,,No
LiSun2022,,Uncovering the characteristics of the gut microbiota in patients with acute ischemic stroke and phlegm-heat syndrome,Stroke,,,,,Main Text,gradient/subtypes;confounding disease,,No
ZhaoWang2022,,Pivotal interplays between fecal metabolome and gut microbiome reveal functional signatures in cerebral ischemic stroke,Stroke,,,,,Main Text,,,No
GongLiu2020,,Alteration of Gut Microbiota in Patients With Epilepsy and the Potential Index as a Biomarker,Epilepsy,,,,,Main Text,,,No
XiaYou2019,https://www.frontiersin.org/articles/10.3389/fneur.2019.00397/full,Stroke Dysbiosis Index (SDI) in Gut Microbiome Are Associated With Brain Injury and Prognosis of Stroke,Stroke,,Yes,"Parabacteroides (q<0.1, LDA>2); Oscillospira (q<0.1, LDA>2); Enterobacteriaceae_uncl. (q<0.1, LDA>2); Bacteroides (q<0.1, LDA>2); Bacteroidaceae_uncl. (q<0.1, LDA>2)","Prevotella (q<0.1, LDA>2); Roseburia (q<0.1, LDA>2); Faecalibacterium (q<0.1, LDA>2); Clostridiaceae_uncl. (q<0.1, LDA>2); Lachnospira (q<0.1, LDA>2)a",Main Text,,,Yes
StagamanKmiecik2024,https://pubmed.ncbi.nlm.nih.gov/39443634/,Oral and gut microbiome profiles in people with early idiopathic Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
TanWu2021,,Dysbiosis of Gut Microbiota and Short-Chain Fatty Acids in Acute Ischemic Stroke and the Subsequent Risk for Poor Functional Outcomes,Stroke,,,,,Main Text,,,No
AhoKlee2024,https://pubmed.ncbi.nlm.nih.gov/38582855/,Gut microbiome is not associated with mild cognitive impairment in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
OttavianoMarsiglia2025,,"Tuberous sclerosis complex, epilepsy, and the microbiota-gut-brain axis: a pilot study of shared and divergent microbial signatures",Epilepsy,,,,,Main Text,,,No
PengQiu2018,,Altered composition of the gut microbiome in patients with drug-resistant epilepsy,Epilepsy,,,,,Main Text,gradient/subtypes,,No
WangLi2022,https://pubmed.ncbi.nlm.nih.gov/36437994/,The relationship between Alzheimer's disease and intestinal microflora structure and inflammatory factors.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
BaoSun2024,https://doi.org/10.1177/15459683241252608,Relationship Between the Gut Microbiota and Neurological Deficits in Patients With Cerebral Ischemic Stroke,Stroke,Decrease,Yes,,,Main Text,gradient/subtypes,,No
TianXia2022,,Effect of enteral nutrition on the intestinal microbiome and risk of death in ischemic stroke patients,Stroke,,,,,Main Text,intervention;gradient/subtypes,,No
SafakAltunan2020,,The gut microbiome in epilepsy,Epilepsy,,,,,Main Text,,,No
WeiChen2023,,Identification of disordered profiles of gut microbiota and functional component in stroke and poststroke epilepsy,"Stroke, Epilepsy",,,,,Main Text,,,No
CuiLiu2022,https://doi.org/10.3389/fmicb.2021.696632,Gut Microbiome Distinguishes Patients With Epilepsy From Healthy Individuals,Epilepsy,Decrease,Yes,"Proteobacteria (p<0.05); Actinobacteriota (p<0.05); Escherichia/Shigella (LDA>3, p<0.05); Enterobacteriaceae-unclassified (LDA>3, p<0.05); Halomonas (LDA>3, p<0.05); Bifidobacterium (LDA>3, p<0.05); Subdoligranulum (p<0.05); Faecalibacterium (p<0.05)","Bacteroidota (p<0.05); Bacteroides (LDA>3, p<0.05); Megamonas (p<0.05); Prevotella (p<0.05); Lachnospiraceae-unclassified (LDA>3, p<0.05); Blautia (LDA>3, p<0.05); Lachnospira (LDA>3, p<0.05); Parabacteroides (p<0.05); Collinsella (p<0.05).",Main Text,,,Yes
ZhangWang2023,,Imbalance of Microbacterial Diversity Is Associated with Functional Prognosis of Stroke,Stroke,,,,,Main Text,,,No
XuWang2021,,Compositional and functional alterations of gut microbiota in patients with stroke,Stroke,,,,,Main Text,,,No
JiangLi2023,,Ischemic Stroke and Dysbiosis of Gut Microbiota: Changes to LPS Levels and Effects on Functional Outcomes,Stroke,,,,,Main Text,,,No
ZhengChen2022,,Gut Dysbiosis Is Associated With the Severity of Cryptogenic Stroke and Enhanced Systemic Inflammatory Response,Stroke,,,,,Main Text,,,No
GrochowskaLaskus2022,,Patients with Infections of The Central Nervous System Have Lowered Gut Microbiota Alpha Diversity,Other,,,,,Main Text,,,No
XuKan2018,,Astragaloside IV reversed the autophagy and oxidative stress induced by the intestinal microbiota of AIS in mice,Stroke,,,,,Main Text,,,No
MatsuuraInoue2019,,Analysis of gut microbiota in patients with cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL),Stroke,,,,,Main Text,,,No
YuwattanaSuparan2025,,Altered gut microbiome profiles in epileptic children are associated with spectrum of anti-seizure medication responsiveness,Epilepsy,,,,,Main Text,,,No
WangLi2018,,The characteristics analysis of intestinal microecology on cerebral infarction patients and its correlation with apolipoprotein E,Stroke,,,,,Main Text,,,No
ShiQiu2020,,Dysbiosis of gut microbiota in patients with neuromyelitis optica spectrum disorders: A cross sectional study,Other,,,,,Main Text,,,No
KimOh2025,,Blood microbiome signatures in the REM sleep behavior disorder-Lewy body disease continuum,"Parkinson’s disease (PD), Dementia",,,,,Main Text,gradient/subtypes;confounding disease,,No
ZhouJia2023,,Integrated Macrogenomics and Metabolomics Explore Alterations and Correlation between Gut Microbiota and Serum Metabolites in Adult Epileptic Patients: A Pilot Study,Epilepsy,,,,,Main Text,,,No
YuShi2024,,Specific gut microbiome signatures predict the risk of acute ischemic stroke,Stroke,,,,,Main Text,,,No
YaoLi2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12508004/,Multi-omics profiling reveals key microbial and metabolic variations in ischemic stroke: insights into gut and oral microbiota,Stroke,Increase,Yes,"Subdoligranulum, Streptococcus, and Limosilactobacillus were enriched in the FS group, Porphyromonas,  in the KS group compared to the KC group (P = 0.004, Q = 0.049).","Bacteroides (P < 0.001, Q < 0.001), Parabacteroides (P < 0.001, Q = 0.004), Roseburia (P < 0.001, Q = 0.007) and Holdemanella (P < 0.001, Q = 0.008)",Main Text,,,Yes
DongZheng2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8888681/,Gut Microbial Characteristics of Adult Patients With Epilepsy,Epilepsy,No Difference,Yes,,,Main Text,,,No
YamashiroTanaka2017,https://pubmed.ncbi.nlm.nih.gov/28166278/,Gut dysbiosis is associated with metabolism and systemic inflammation in patients with ischemic stroke,Stroke,,,,,Main Text,,,No
ParkLee2023,https://doi.org/10.3390/biomedicines11092352,Gut Dysbiosis: A New Avenue for Stroke Prevention and Therapeutics,Stroke,Decrease,Yes,,,Main Text,,,No
ChenHuang2024,,Uncovering the characteristics of the gut microbiota in patients with ischemic stroke and hemorrhagic stroke,Stroke,,,,,Main Text,,,No
ShaoZheng2025,,The protective effect of Blautia coccoides in secondary injury of intracerebral hemorrhage,Stroke,,,,,Main Text,,,No
MarsigliaMarangelo2024,,Gut Microbiota Ecological and Functional Modulation in Post-Stroke Recovery Patients: An Italian Study,Stroke,,,,,Main Text,,,No
LiWang2019,,Change of intestinal microbiota in cerebral ischemic stroke patients,Stroke,,,,,Main Text,,,No
ChenWang2022,,Multi-omics reveals specific host metabolism-microbiome associations in intracerebral hemorrhage,Stroke,,,,,Main Text,,,No
HeJiang2024,,Identifying gut microbiota with high specificity for ischemic stroke with large vessel occlusion,Stroke,,,,,Main Text,,,No
HasegawaGoto2015,,Intestinal Dysbiosis and Lowered Serum Lipopolysaccharide-Binding Protein in Parkinson's Disease,Parkinson’s disease (PD),,,,,Main Text,,,No
